English,Kokborok
define,shongga dewa
definitely,nishchoi
definition,shongga
degree,degree
deity,devota
delay,deri
deliberate,sochchhinno
delicate,komal
delicious,shushwadu
delight,anondo
deliver,bitoron
delivery van,bitoron gari
demand,dabi
democracy,gonotontro
demolish,dhongosh kora
demon,daanob
demonstrate,promankorono
den,khop
deny,ashwikarkoron
departure,prosthaan
depend,nirvorkora
deposit,jomakora
depression,obashaad
depth,gabhirjota
descend,nemejawa
describe,bornonakora
desert,maru
deserve,joggo
design,design
designer,designer
desire,ichcha
desk lamp,desk lamp
despair,nirasha
desperate,hatasha
dessert,mishthanna
destroy,dhongoshkora
detail,biboroni
detect,detect
detective,goyenda
determine,sthirkoraw
develop,bikoshkora
devil,shaytan
devote,utshorgokora
dew,shishir
diabetes,boyomeho
diagram,diagram
dial,dial
diamond ring,diamond ring
diaper,nauya-katha
diary,diary
dice,pasha
dictator,dictator
dictionary,avidhaan
die,moraa
diet,khaddoniyontron
difference,parthokya
different,aladaa
difficult,kothin
dig,khonon
digest,hojomkora
digital,digital
dignity,morjadaa
dilemma,duschinta
dim,ostoshto
dine,ratekhawa
dinner plate,dinner plate
dinosaur,dainoshaar
diplomat,kutnitik
direct,shohoj
direction,diknirdeesh
director,porichalok
dirt road,kacha rasta
dirty,moyla
disability,oshamorthyo
disadvantage,oshubidha
disagree,omat
disappear,ontordhankora
disappoint,hotashakora
disapprove,onumodonnakaraa
disaster,durjog
disc,disc
discipline,shrinkhola
disclose,prokaashkaraa
disco,disco
discount,discount
discover,abishkaarkora
discovery,abhishkar
discuss,aalochanakora
disease,rog
disgrace,omorjadaa
disguise,chhadmobesho
disgust,ghrina
dish,thaala
dishonest,oshadhoo
dislike,ochhondo
dismiss,baatilkaraa
disorder,bishrinkhola
display,display
dispute,bibad
distance,durottyo
distant,door
distinct,alaadaa
distinction,parthokyo
distinguish,parthokaya
distract,monojoghatanokaraa
distress,kashto
distribute,bitoronkaraa
district,jela
disturb,biriktakaraa
ditch,naala
dive,joldubari
diver,dubarikarak
divide,bagkora
divine,dibbyo
division,bagkora
divorce,talaak
dizzy,matha ghora
do,karaa
doctor's office,daktar er office
document,dalilpatra
documentary,documentary
dog collar,kukur collar
doll,putul
dollar sign,dollar sign
dolphin show,dolphin show
dome,gumbuj
donate,daankaraa
donkey,gadhaa
donor,daataaa
doom,dhorwonghsho
door handle,dorjarrhandel
doorbell,dorjarghantiaa
dose,matraa
dot,bindu
double,duguni
doubt,shondehow
dough,moyda
dove,payra
down,nichu
download,download
downtown,shohorereelakaay
downwards,nicherdike
dozen,dozen
draft,khoshora
drag,tente niyejawa
dragon,dragon
drain,naala
drama,naatok
drastic,drastic
draw,aankaa
drawer,drawer
drawing,chhobi
dream,shopno
dreary,bishonno
dress up,shaaj pora
dressing gown,gown
drift,bheshe jawa
drill,drill
drink,paan
drip,fota fota pora
drive,drive
driver's license,gari chalono anumotipotro
drizzle,halka bristi
drop,fota
drought,khora
drown,dubejaowa
drug,oshudh
drugstore,oshudher dokan
drum,dhole
drumstick,drumstick
drunk,matal
dry,shushko
dry cleaner,dry cleaner
dry cleaning,dry cleaning
duck pond,haser pukar
dull,nirosh
dumb,boka
dumpling,dumpling
duplicate,duplicate
durable,tikshoi
duration,shomoykal
during,cholakale
dusk,shonddhya
dust,dhulabali
dustbin,dustbin
duty,kartobya
dwarf,baamon
dwell,baash kara
dye,rong kora
dynamite,dynamite
dynasty,rajyobansho
each,protekta
eager,agrahee
eagle eye,eagle chokh
ear plug,kaaner plug
early,aage
earn,uparjon kora
earring,kaner dul
earth,prithibi
earthquake,vumikampa
ease,shohojota
east,purbo
eastern,purba
easy,shohoj
eat out,baaire khawa
echo,protidhwoni
eclipse,grahon
ecology,poribesh bigyan
edge,pranto
edit,shampadan
educate,shikhha dewa
education,shikkha
eel,baain maach
effect,provab
effort,chesta
egg white,dim er shabla
eggplant,begun
either,jekono ekta
elbow,konui
elder,borista
elderly,boyosko
elect,nirbachon
election,nirbachon
electric,boidutik
electrical,boidutik
electricity,bidyut
elegant,shundor
element,upadaan
elementary,prathomic
elephant tusk,hatir daant
elevate,uthano
elevator,lift
eliminate,eliminet
elite,elite
else,onnota
elsewhere,onno kothao
email address,email address
embarrass,lojjito
embassy,dutabas
embrace,alingon
embroidery,shuchi shilpo
emerge,uthia asha
emergency,apatkal
emotion,aabeg
emperor,samrat
emphasis,gurutyo
empire,samrajjo
employ,niyog kora
employee,kormi
employer,maalik
empty,khali
enable,enable
enchant,mohito kora
encounter,mukhomukhi
encourage,utshaho dewa
end,shesh
endanger,bipode dhoka
endless,antarhin
endorse,endorsh
enemy,shotru
energy,shakti
enforce,korano
engage,nijukto
engine,engine
engineer,projukti bidh
enhance,barano
enjoy,upovog
enlarge,boro kore
enormous,bishaal
enough,jotheshto
enquire,jiggasha
enrich,shomridho
ensure,nishchit kora
enter,probesh
enterprise,enterprise
entertain,binodon
enthusiasm,utsaho
entire,shomosto
entrance,probesh dwar
entry,probesh
envelope,khaam
environment,poribesh
envy,irsha
equal,shaman
equation,equation
equator,nirokkhyo
equip,sojjito kora
equipment,shoronjam
equivalent,shamantulyo
erase,muchhe fela
error,vul
erupt,ultapaaltha
escape,palatak
escort,escort
especially,bisheshvabe
essay,rochona
essence,shorbbosho
essential,oporhiharjo
establish,protishtho
estate,estate
estimate,anumaan
ethnic,jatishongho
etiquette,adab
evacuate,khali kora
evaporate,bashpibhubo
eve,purborati
even,shomon
evening star,shondhar tara
event,ghotona
eventually,ontoto
ever,kokhono
every,proti
everyday,proti din
everyone,shobbai
everything,shobbokichhu
everywhere,shobbkothao
evidence,pramaan
evil,khotikark
evolution,evolution
exact,jothajoth
exam,porikkha
examination,porikkha
examine,porikkha
example,udahoron
exceed,otikrom
excel,shrestho
excellent,chomtkar
except,chhara
exception,baetiakrom
excess,otirikto
exchange,binimoy
excite,utshahit
exclude,bad
exclusive,bishesh
excuse,khoma
execute,krianito
executive,nirbahi
exercise book,khata
exhaust,klanto kora
exhibit,prodorshoni
exhibition,prodorshoni
exist,bortoman
exit,bahirgomon
expand,prostharito
expansion,shomprosharon
expect,asha kora
expedition,obhijan
expense,khoroch
expensive,dami
experience,ovigota
experiment,porikha
expert,dakhya
explain,byakha
explanation,byakha
explode,bikhforoto
explore,explor
explosion,bishphoron
export,roptani
expose,prokaash
express,byakto
expression,byakti
extend,barano
extension,extension
extensive,byapok
extent,poriman
exterior,bahirer
external,bahirer
extinct,billupto
extra,otirikto
extraordinary,ashadharon
extreme,choromo
eye contact,chokher jogajog
eye drop,chokher drop
eyebrow,brulata
eyelash,brulata
eyelid,choker pata
eyesight,drista
fable,rupkotha
face cream,mukher cream
face mask,mukher mask
face powder,mukher pauder
face to face,mukhomukhi
facility,shubidha
fact,shotto
factor,karoon
factory worker,karkhana sromik
fade,fika howa
fail,byartha
failure,byarthota
faint,durbol
fair,nyayonugo
fairy,pori
fairy tale,rupkotha
faith,bishwas
faithful,bishwas jogyo
fake,nakol
fall asleep,ghumiye pora
false,mittha
fame,nama
familiar,porichito
family tree,bongsho lattika
famous,bikhato
fan,pankha
fancy,khub shundor
fantasy,kolpona
far away,onek dur
fare,bhara
farewell,bidya
farm house,khamer bari
farmer's market,krishok market
farmland,krishijomi
fascinating,chomaatkar
fashion,fashion
fast food,fast food
fasten,atthan
fat,mota
fatal,marattok
father-in-law,shoshur
fatigue,klanty
fault,dosh
favor,anukul
favorite,priyattom
fear,voey
fearless,abhoy
feast,bhoj
feather duster,pakhir patla jharu
feature,boishisto
February,Fabruary
federal,federal
fee,fee
feed,khawano
feedback,matamato
feel,anuvob kora
feeling,anuvuti
fell,patit howa
fellow,songi
female,stri
fence,bera
ferry,ferry
fertile,urbar
fertilizer,shar
festival,uthshob
fetch,niye asha
fever,jor
few,olpo kichu
fiber,aansh
fiction,kolpokahini
fiddle,bela
field trip,field trip
fierce,ugro
fifteen,ponero
fifth,ponchom
fifty,ponchash
fight,larai
figure,onko
file cabinet,file cabinet
fill,puron kora
film star,film star
filter,filter
final,chudanto
finance,finance
financial,artho sonkranto
find,khuje pawa
fine,kashto
finger,angul
fingertip,angul aga
finish,shesh
fire alarm,agni sanket
fire escape,fire escape
fire station,fire station
fireball,agnikundo
firefly,jonaki
fireman,agni nirbapok
fireplace,fireplace
fireproof,agnishoho
firework,aatashbaji
firm,drido
first,prothhom
first aid kit,first aid kit
fish bowl,machher bowl
fish hook,barshi
fish market,macher bajar
fish tank,machherbakso
fisherman,jele
fishing,machh dhora
fishing net,jaal
fishy,machher moto
fist,musti
fit,fit
fitness,suastha
fix,thik kora
flag,pataka
flake,flake
flame,shikha
flammable,daho joggyo
flannel,flannel
flap,flap
flash,flash
flashlight,torch
flat,flat
flat tire,flat tire
technology,projukti
computer,komphutar
internet,internet
mobile,mobile
software,software
digital,dijital
keyboard,kibord
screen,iskrin
camera,kamera
photograph,chobikham
video,vidiyo
message,baarta
email,email
website,websaite
online,online
download,download
upload,upload
password,paasword
username,username
account,akount
profile,profail
search,talaash
link,lingko
browser,braujaar
server,saarvar
network,networko
wireless,wayarleso
signal,signaal
battery,byaatari
charger,charjaar
microphone,mikrophone
speaker,spikar
headphone,hedphone
mouse,maaus
printer,printer
monitor,monitor
laptop,lyaaptap
tablet,tyablet
smartphone,smaartphone
application,aplikeshon
program,program
update,aapdet
install,instal
delete,muche
save,save
file,fail
folder,foldar
document,dokument
image,imej
audio,odio
music,sangit
song,song
playlist,pleylist
album,albam
artist,shilpi
movie,sinema
television,telebhison
channel,channel
radio,redio
news,khobor
information,tathya
knowledge,gyan
learn,shikhya
teach,shikao
study,adhyayan
research,gobesona
science,biggan
mathematics,ganit
physics,phoysik
chemistry,kemistri
biology,jibobidya
geography,bhugol
history,itihas
literature,sahitya
language,bhasha
grammar,byakaron
vocabulary,shabdabhandar
sentence,bakya
paragraph,anucched
essay,nibandha
article,artikolo
book,boye
magazine,patrika
newspaper,khabarkakoj
journal,jarnaal
library,granthagar
museum,jadughar
gallery,galari
theater,thieyatar
cinema,sinema
concert,konsart
festival,utsob
celebration,utjapan
holiday,chhuti
vacation,bhraman
travel,safar
journey,jatra
destination,gantobyo
map,manochitro
compass,dishanirnayak
guide,parichayok
tour,bhroman
hotel,hotel
resort,risorto
beach,samudratot
mountain,pahar
forest,aranyyo
river,nodi
lake,hrad
ocean,sagor
island,dwip
desert,marubhumi
climate,jolobayyu
weather,abohaoya
temperature,tapomatra
wind,batash
rain,brishti
snow,tusharpat
ice,borof
storm,jhor
thunder,bajro
lightning,bijli
rainbow,ramdhonu
cloud,megho
fog,kuasha
smoke,dhuyan
fire,aguni
water,jol
earth,prithivi
air,batash
energy,shakti
light,alo
dark,andhakar
color,rong
shape,akriti
size,akar
weight,bhar
height,uchata
length,lambai
width,prostho
depth,gabhirata
distance,durattwo
direction,disha
position,obosthan
location,jaiga
time,samay
moment,muhurto
second,sekend
minute,minit
hour,ghonta
day,din
night,rat
morning,sakal
afternoon,dupur
evening,sandhya
today,ajke
tomorrow,gamikal
yesterday,gotkal
week,saptah
month,mas
year,bachhor
century,shatabdi
calendar,panjika
date,tarikh
schedule,suchi
appointment,nirdharito samay
meeting,sabha
conference,sammelan
seminar,alochona sabha
workshop,karmashala
course,course
training,prashikhan
education,shiksha
school,bidyalay
college,college
university,bishwabidyalay
student,chatro
teacher,shikhak
professor,adhyapak
principal,pradhan shikhak
scientist,bigyani
engineer,abhiyanta
doctor,chikitsak
nurse,paricharyika
lawyer,ainjibi
judge,bicharok
police,pulish
firefighter,agnishshomok
soldier,sainik
officer,adhikari
manager,byabosthapak
clerk,karani
secretary,sachib
driver,chalok
pilot,biman chalok
sailor,nabik
farmer,chashi
gardener,mali
chef,rannabid
waiter,paribeshak
cashier,keshiar
salesperson,bikreta
customer,grahok
client,client
audience,darshak
patient,rogi
guest,atithi
host,atitheyota
friend,bondhu
enemy,shatru
neighbor,pratibeshi
acquaintance,parichito
stranger,aparichito
person,byakti
people,manush
family,paribar
parent,pita-mata
child,santana
baby,shishu
infant,nabajatok
toddler,abujh shishu
youth,yubok
adult,prajnabayaska
elderly,briddha
senior,uttir
junior,kanistha
male,purush
female,nari
gender,linga
marriage,bibaha
wedding,bibaha anusthan
divorce,bibaha bicched
relationship,samparka
love,prem
hate,ghrinna
jealousy,irshaaa
joy,ananda
sorrow,dukha
happiness,sukh
sadness,bishad
anger,rag
fear,bhoy
courage,sahash
shame,lajja
pride,garbo
hope,asha
faith,bishwash
belief,dharona
doubt,sandeha
trust,aastha
honesty,satata
honor,samman
respect,shraddha
dignity,maryada
value,mulya
virtue,sadgun
vice,durgun
good,bhalo
bad,kharap
right,thik
wrong,bhul
truth,satya
lie,mithya
fact,tathya
fiction,kalpakahini
imagination,kalpana
creativity,srijansheelta
idea,dharona
thought,chinta
memory,smriti
dream,swapna
goal,lakshya
plan,parikalpana
strategy,kaushal
method,paddhati
process,prakriya
system,byabostha
structure,kathamo
framework,dhanca
theory,tattwa
practice,abhyas
experiment,parikhha
test,parikhha
result,phalaphol
solution,samadhan
problem,samasya
challenge,challange
success,saphaltya
failure,byarthhata
achievement,krititwa
reward,puroskar
punishment,shasti
victory,bijoy
defeat,parajoy
competition,pratijogita
contest,pratidwandwita
race,daurr
game,khela
sport,khela
team,dal
player,kheloyar
coach,prashikhak
referee,madhyastha
champion,bijeta
winner,bijayi
loser,parajito
score,anko
rule,niyam
law,ain
constitution,sanbidhaan
government,sorkar
politics,rajniti
democracy,ganatantra
election,nirbachan
vote,bhot
candidate,praarthi
leader,neta
follower,anugami
citizen,nagarik
nation,jati
country,desh
state,rajya
city,shahar
town,shahar
village,gram
community,samaj
society,samaj
culture,sanskriti
tradition,pratha
custom,riti
ritual,anusthan
ceremony,utshob
religion,dharma
belief,bishwash
faith,asha
prayer,prarthana
worship,upasana
temple,mandir
church,girja
mosque,masjid
god,ishwar
goddess,debi
spirit,atma
soul,atma
life,jiban
death,mrityu
birth,janma
growth,briddhi
development,unnati
evolution,bibartana
revolution,biplab
progress,pragati
change,paribartan
creation,sristi
destruction,dhangsha
nature,prakriti
environment,paribesh
planet,graha
star,tara
space,mahakash
universe,biswa
animal,pashu
mammal,stanyapaayi
bird,pakhi
fish,maachh
insect,patanga
reptile,sarisrip
amphibian,ubhochor
plant,udbhid
tree,gachh
flower,phul
fruit,phal
vegetable,shak-sabji
crop,fasol
seed,bij
root,mul
stem,kando
leaf,pata
branch,shakha
food,khabar
meal,ahar
breakfast,pratar ahar
lunch,madhyahna bhojan
dinner,ratriv bhojan
snack,jalkhaabar
drink,paniya
water,jal
juice,rash
milk,dugdha
tea,cha
coffee,kaaphi
alcohol,madhya
wine,madira
beer,biyar
cocktail,kaktelo
ingredient,upadan
recipe,randhanpranali
taste,swad
flavor,swad
sweet,misti
sour,tak
bitter,tito
spicy,jhal
salt,laban
sugar,chini
spice,masala
herb,jaribooti
meat,mangsho
beef,gorur mangsho
pork,shuorer mangsho
chicken,murgi
fish,maachh
egg,dim
dairy,dugdha-jaat
cheese,panir
butter,makhan
oil,tel
rice,bhat
wheat,gom
corn,bhutta
bread,ruti
pasta,pasta
dessert,mishti
cake,kek
cookie,biskut
candy,mishti
ice cream,aiskrim
chocolate,chokalet
diet,pathyo
nutrition,pushti
vitamin,bhitamin
mineral,khanij
protein,proten
carbohydrate,karbohaydrate
fat,charbhi
calorie,kalori
health,swastha
illness,asusthataa
disease,rog
symptom,lakshan
diagnosis,rog nirupan
treatment,chikitsa
medicine,oshudh
drug,oushadh
surgery,shalyachikitsa
therapy,chikitsa
doctor,chikitsak
hospital,haspataal
clinic,chikitsaloy
pharmacy,oushadhaloy
emergency,jorurii
injury,aghaat
pain,bedana
ache,byatha
wound,khata
scar,dag
bruise,dag
bone,haddi
muscle,peshi
blood,rakta
heart,hriday
lung,phusphus
brain,mastishka
stomach,pet
liver,jakrit
kidney,vrikka
skin,twak
hair,chul
nail,nakh
eye,chokh
ear,kaan
nose,naak
mouth,mukh
tongue,jibha
teeth,daat
face,mukh
head,matha
neck,gala
shoulder,kandha
arm,bahu
elbow,kuni
wrist,kabjaa
hand,haath
finger,angul
thumb,buro angul
leg,paa
knee,haantu
ankle,goraali
foot,paa
toe,angul
body,shoreer
cloth,kaapor
clothing,poshak
dress,poshak
shirt,shirt
t-shirt,ti-shirt
blouse,blauj
sweater,swetar
jacket,jaket
coat,kot
suit,sut
pants,pant
jeans,jinsa
skirt,skart
shorts,shorts
underwear,antarvash
sock,moja
shoe,juta
boot,but
sandal,sandal
slipper,chappal
hat,tupi
cap,tupi
glove,dastana
scarf,orna
tie,tai
belt,beltu
button,botam
zipper,jipar
pocket,pokat
wallet,purse
purse,purse
backpack,pith-beg
briefcase,brifkes
luggage,malpatr
jewelry,alonkar
ring,angti
necklace,hara
bracelet,bala
earring,dul
watch,ghori
clock,ghori
alarm,alarm
calendar,panjika
pen,kalam
pencil,pensil
eraser,rabor
marker,marker
crayon,krayon
scissors,kainchi
tape,tep
glue,aalaa
stapler,stapler
paper,kagaj
card,kard
letter,chithi
envelope,khaam
stamp,stamp
postcard,postakard
gift,upahar
toy,khelona
ball,bal
doll,putul
puzzle,dhada
game,khel
dice,pasha
chess,daba
card,taash
board,bord
sports,khela
football,futbol
soccer,sokar
basketball,basketbal
volleyball,balibal
tennis,tennis
golf,golf
hockey,haki
boxing,bakshim
wrestling,kushti
swimming,santaran
diving,daibhing
sailing,naukachalna
fishing,machh-dharaa
hunting,shikar
camping,kemping
hiking,haiking
skiing,skiing
skating,skating
cycling,saikalchalna
racing,dorr
dancing,nritya
singing,gaan
painting,chitrank
drawing,aankaa
writing,lekha
reading,pora
cooking,rannakara
sewing,selai
knitting,bunana
gardening,baganbari
shopping,kena-kata
cleaning,parishkar
washing,dhoya
ironing,istrikara
cooking,randhan
baking,senka
brewing,uttapanam
building,nirman
repairing,maramat
designing,abhinabkaran
crafting,hastashilpa
cutting,katan
folding,bhaj
tying,bandhan
mixing,mishrano
measuring,mapano
counting,ganana
calculating,ganana
speaking,balavadru
listening,shravana
watching,dekha
touching,sparsh
smelling,ghran
tasting,swad
feeling,anubhuti
moving,chalaa
walking,hata
running,douran
jumping,lamphan
climbing,arohan
swimming,santaran
flying,uran
crawling,hawaguripana
kneeling,hatugariyabasa
standing,daranowa
sitting,basahaowa
lying,shayan
sleeping,ghum
waking,jagano
breathing,shwasprashwas
eating,khawa
drinking,panakara
biting,kamran
chewing,chibano
swallowing,gilhan
laughing,hasa
crying,kanna
smiling,hasiutha
frowning,bhrukunach
shouting,chillano
whispering,phisphisano
singing,gaoya
dancing,nritya
jumping,lamphan
clapping,talikarna
waving,hatnarano
pointing,angulnirdesho
touching,sparshkara
holding,dharankara
grabbing,pakarano
pushing,thela
pulling,tana
lifting,tulna
dropping,phelona
throwing,chhoran
catching,dharha
hitting,ghaat
kicking,lathimara
punching,ghushimara
shooting,goliakalapa
fighting,larai
defending,rakhakara
attacking,akraman
hiding,lukano
seeking,khonja
calling,daka
texting,text
emailing,email
chatting,alap
meeting,dekha
visiting,pravash
traveling,bhraman
driving,chalano
flying,uran
swimming,santaran
diving,daib
sailing,naukachalan
cruising,jalvihar
rowing,daanrchalana
paddling,pallanaua
drifting,bhasano
floating,bhasano
sinking,dubha
drowning,dubano
landing,avataran
taking off,uthaajaawa
accelerating,twaranabritt
braking,thaman
stopping,thamm
pausing,biramudeon
continuing,chalayejawa
starting,suru
ending,samapti
completing,samapnakara
beginning,arambhkara
finishing,sheshkara
doing,karna
making,banano
creating,srijankara
destroying,dhangsa
breaking,bhanga
fixing,maramat
building,nirmankara
constructing,todirkarna
repairing,sadanokara
maintaining,rakshanshabekshanakara
organizing,bibasthapan
cleaning,parisrista
washing,dhowkara
drying,sukano
dusting,jharkara
sweeping,jharkara
mopping,phamuchara
scrubbing,ghashankara
polishing,pariskarkara
painting,rangkara
drawing,anchankara
sketching,eskaicon
coloring,rangkara
highlighting,mukhyansho
underlining,rekhankit
typing,taip
writing,lekha
printing,chappakara
scanning,eskyan
copying,nakalakara
pasting,aahtakara
recording,rekarakara
playing,khela
performing,pradarshan
practicing,abhyaas
rehearsing,mahsara
observing,paryabekshan
analyzing,bishleshan
researching,gabeshana
studying,adhyan
learning,shikshan
teaching,shikhan
testing,parikshan
examining,parikshan
checking,parikha
approving,anumada
disapproving,aninishkar
agreeing,sammati
disagreeing,asmamatijan
promising,pramisan
apologizing,kshamachaan
requesting,anurodhan
demanding,chaoykara
commanding,aadesha
inviting,aamantran
welcoming,swagat
greeting,abhyarthana
thanking,dhanyabaad
praising,prshangsit
criticizing,samalochana
blaming,doshkara
complaining,abijogkara
forgiving,kshama
forgetting,bhulibjaoya
remembering,amlauprakaran
thinking,chintakara
believing,bishwash
doubting,sandeho
hoping,asha
fearing,bhay
loving,premaakara
hating,ghrinnakara
wishing,ecchakara
dreaming,swapnakara
imagining,kalpana
planning,parikalpana
deciding,siddhantoneon
choosing,bachchai
allowing,anumati
forbidding,nishiddhahala
permitting,anumatijayon
denying,aswikar
accepting,sweekara
rejecting,pratakshepa
receiving,prapti
giving,pdreyojona
sharing,bhagkara
taking,neon
sending,paathano
delivering,bitarankara
paying,adaykara
buying,ketakate
selling,bikritakara
trading,banijyakarakari
exchanging,binamaya
lending,dhardeon
borrowing,dhaarkarakaran
betting,batekara
winning,jitante
losing,haara
saving,sanchoy
spending,binkara
wasting,apachay
collecting,sangrahakarakaran
gathering,ekattritakaran
scattering,chitiye
spreading,chhatranakara
growing,barakara
shrinking,sankuchit
expanding,prassaritkara
contracting,sankuchit
increasing,briddhikaran
decreasing,hraskaaran
rising,utthan
falling,patana
lifting,uttolana
lowering,namano
turning,ghurhan
rotating,ghurano
spinning,ghurghuri
swinging,dulana
sliding,phiskanokarana
rolling,gallano
stretching,prasarita
bending,bakra
folding,vajana
twisting,mockkarano
shaking,kampana
trembling,kanpano
vibrating,kampana
waving,tarangopama
nodding,mathanarano
opening,khulikara
closing,bandhakara
locking,talalagno
unlocking,talakarikara
binding,bandhanakara
untying,khulikara
fastening,aatakakara
unfastening,khulikara
wrapping,jipatkara
unwrapping,khulikara
covering,akkhadankara
uncovering,khulikara
filling,puronakara
emptying,khali
loading,bharajakara
unloading,khalikara
installing,sthaponakara
uninstalling,khulikara
building,nirmankara
demolishing,dhangsakara
constructing,nirmankara
destroying,dhangsakara
creating,srishti
deleting,muccheaphela
saving,sangrakshan
loading,lotkara
uploading,apladetakara
downloading,daunalota
connecting,jotakara
disconnecting,bichcchinnakara
linking,lingkakara
unlinking,alinkakara
joining,jugmakara
separating,prithakakara
attaching,samyuktakara
detaching,bitchinakaran
He is working.,Bo kamijak ong.
She is dancing.,Bo mulungma ong.
I am reading.,Ang poraima ong.
What is your name?,Nini bwsai mung?
My name is Bikash.,Ani mung Bikash.
He is not working.,Bo kamijak ya.
Why are you sad?,Bobo nwng dukma ong?
How are you?,Nwng bahai ong?
Please help me.,Angno sahaima hum.
Can you speak Kokborok?,Nwng Kokborok rwchap ham?
I am not sleeping.,Ang mwtaima ya.
She is going up the hill.,Bo hathai bwkha thangma ong.
He is coming down the stairs.,Bo singdur bwkhasa phiyok ong.
What are you doing?,Nwng bobo kwrwima ong?
I am cooking.,Ang chekma ong.
Is she working?,Bo kamijak ong do?
They are not here.,Bwrwi bwini ya.
How is your family?,Nini nokhorbaro bahai ong?
Please sit down.,Achuk hum.
He can swim.,Bo twima paro.
I cannot speak Kokborok well.,Ang Kokborok rwchap kwbango paro ya.
She is eating.,Bo chama ong.
What time is it?,Somoi bobo?
Can you help me?,Nwng angno sahaima paro do?
I am going to the market.,Ang bazaro thangma ong.
He is not feeling well.,Bo kwbango malaiwa.
Why is she crying?,Bo bobo kwrwidi kadima ong?
How old are you?,Nini bochchor bobo?
Please wait here.,Bwini nangyak hum.
What are they doing?,Bwrwi bobo kwrwima ong?
I am happy.,Ang khuswi ong.
She is teaching.,Bo poraima ong.
He is not listening.,Bo khnama ya.
Your name is beautiful.,Nini mung bugwi.
Is he coming today?,Bo diniwi phiyok ong do?
They are working together.,Bwrwi kharing kamijak ong.
How far is the village?,Nok bobo tal?
Please come in.,Bwsakha hum.
What is this?,Bi bobo?
I am tired.,Ang haima ong.
She is not at home.,Bo nokha ya.
Why are you late?,Nwng bobo kwrwidi dera ong?
He is writing a letter.,Bo chiti swima ong.
Can you sing?,Nwng rwma paro do?
I am waiting for him.,Ang boni tagwi nangyak ong.
The food is ready.,Hakchak twiyar ong.
She is coming up now.,Bo daniwi bwkha phiyok ong.
He is going down the river.,Bo chimani khumo thangma ong.
What is your father's name?,Nini buphani mung bobo?
I am not ready yet.,Ang aboni twiyar ya.
How much is this?,Bini dam bobo?
Please speak slowly.,Manthi rwchap hum.
They are studying.,Bwrwi poraima ong.
She can dance well.,Bo kwbango mulungma paro.
I am looking for my keys.,Ang ani chabi naima ong.
He is not angry.,Bo hakchak ya.
Why are you smiling?,Nwng bobo kwrwidi moloma ong?
How did you learn Kokborok?,Nwng bahai Kokborok hikhya?
Please take this.,Bini lama hum.
What are we doing tomorrow?,Bwrwi gaba bobo kwrwima ong?
I am living in Tripura.,Ang Tripurao thangma ong.
She is wearing a new dress.,Bo nwtwi rog chima ong.
He is not from here.,Bo bwni ya.
Your sister's name is Maloti.,Nini bwsani mung Maloti.
Is the water clean?,Twi phang do?
They are not listening to me.,Bwrwi ang khnama ya.
How do you say this in Kokborok?,Bini Kokboroko bahai rwchap?
Please close the door.,Duwar phatek hum.
What did he say?,Bo bobo rwchapkha?
I am learning Kokborok.,Ang Kokborok hikhma ong.
She is not eating meat.,Bo mwchang chama ya.
Why are the children crying?,Khoroksa bobo kwrwidi kadima ong?
He is coming from school.,Bo iskulo phiyok ong.
Can you read this?,Nwng bini poraimu paro do?
I am not feeling well today.,Ang diniwi kwbango malaiwa.
The sun is up.,Sal bwkha ong.
She is going down to the river.,Bo chimani khumo thangma ong.
What is in the bag?,Bagwi bobo ong?
I am twenty years old.,Ang khol bochchor ong.
He is not sleeping yet.,Bo aboni mwtaima ya.
Why are you here?,Nwng bobo kwrwidi bwini ong?
How did you arrive?,Nwng bahai phaiyakha?
Please don't go.,Thangya hum.
What are these fruits called?,Bi bithi bobo mungma?
I am washing clothes.,Ang risa silaima ong.
She is watching TV.,Bo TV naima ong.
He is not working today.,Bo diniwi kamijak ya.
My mother's name is Jamuna.,Ani mamaini mung Jamuna.
Is the door open?,Duwar phangkha do?
They are coming tomorrow.,Bwrwi gaba phiyok ong.
How can I learn Kokborok?,Ang bahai Kokborok hikhma paro?
Please tell me your name.,Nini mung rwchap hum.
What is the weather like?,Barsa bahai ong?
I am selling vegetables.,Ang hathai pechama ong.
She is not happy with me.,Bo angno khuswi ya.
Why are you worried?,Nwng bobo kwrwidi chintama ong?
He is listening to music.,Bo musika khnama ong.
Can you come tomorrow?,Nwng gaba phiyok paro do?
I am not going outside.,Ang bwrwi thangma ya.
The bird is flying up high.,Twkhwi talwi dwoima ong.
She is climbing down the tree.,Bo bwphangni bwkhasa phiyok ong.
What is the name of this village?,Bi nokhaini mung bobo?
I am a teacher.,Ang master ong.
He is not my brother.,Bo ani bwsa ya.
Why are you eating so fast?,Nwng bobo kwrwidi chamungwi chama ong?
How do I get to the market?,Ang bahai bazaro thangma paro?
Please sit here.,Bwini achuk hum.
What are they saying?,Bwrwi bobo rwchap ong?
I am going to sleep.,Ang mwtaima thangma ong.
She is not working here.,Bo bwini kamijak ya.
My father's name is Rajib.,Ani buphani mung Rajib.
Is the food good?,Hakchak kwbang do?
They are not ready yet.,Bwrwi aboni twiyar ya.
How many people are there?,Bwini bobo tei mani?
Please wait a moment.,Mante nangyak hum.
What time do you wake up?,Nwng bobo somoyo bwsakha?
I am listening to you.,Ang nwngno khnama ong.
